"",WG1 H16.06.008,WG4 H16.06.009,WG4 H16.06.010,WG1 H17.06.015,Fold Change,Score
LDB2,8.25,4.06,4.22,8.95,-4.46,-2.79
THSD7A,6.84,3.76,4.01,7.05,-3.06,-2.31
MAP3K5,6.68,4.01,3.9,7.24,-3,-2.04
CDHR3,7.5,4.13,3.17,8.82,-4.51,-1.73
CCDC85A,9.01,6.92,6.52,9.31,-2.44,-1.64
PDE1A,8.89,7.26,7.3,8.82,-1.57,-1.46
RIT2,6.35,3.9,2.99,7.46,-3.46,-1.42
FOXO1,4.5,1.52,1.85,6.66,-3.89,-1.41
ARAP2,4.5,2.16,2.73,4.42,-2.02,-1.39
LOC105375153,2.75,1.23,1.13,3.05,-1.72,-1.34
LOC101928135,4.12,1.5,2.12,5.18,-2.84,-1.3
LOC101929006,3.25,1,1.39,4.46,-2.66,-1.25
PRKD1,6.93,4.37,1.16,7.52,-4.46,-1.21
RGS6,7.39,5.54,5.69,8.64,-2.4,-1.2
LMO3,6.19,4.53,4.73,6.7,-1.82,-1.2
SGCG,3.46,1.25,1.94,3.67,-1.97,-1.2
ZNF385B,4.12,1.92,2.38,5.21,-2.52,-1.2
VWDE,2,0.592,0.618,1.86,-1.32,-1.18
NSFP1,1.75,0.344,0.219,1.6,-1.39,-1.17
LOC100506869,2.29,1.1,1.11,2.54,-1.31,-1.1
KCNIP2,4.09,2.36,1.78,5.74,-2.84,-1.1
ROR1,2.13,0.812,0.812,2.94,-1.72,-1.1
PRELID2,4.37,2.09,2.42,7.27,-3.56,-1.09
CACHD1,4.44,2.42,3,5.62,-2.32,-1.04
SKAP2,3.06,0.932,1.81,3.14,-1.73,-1.04
CCDC138,5.59,4.41,4.24,6.07,-1.5,-1.03
FBXO32,4.57,1.64,2.42,3.8,-2.16,-1.03
PDE3A,3.2,1.69,1.75,5.02,-2.39,-1.03
GPRIN3,2.61,1.23,0.473,3.44,-2.18,-1.03
TGFBR3,2.26,0.789,1.08,2.81,-1.6,-1
GRAMD3,1.51,0.442,0.449,1.46,-1.04,-1
LOC105370172,1.92,0.492,0.677,2.86,-1.8,-1
LOC105369197,3.39,2.33,2.06,3.39,-1.19,-0.998
RAVER2,5.04,3.53,3.81,5.97,-1.84,-0.989
LOC105371832,4.18,2.38,3.03,4.41,-1.59,-0.98
LOC105374505,4.53,3.25,3.02,4.31,-1.28,-0.971
XRCC4,4.23,2.77,3.14,4.57,-1.45,-0.967
DPY19L3,5.94,4.79,4.28,6.46,-1.66,-0.959
CYP1B1-AS1,1.36,0.105,0.241,1.24,-1.13,-0.958
LPPR1,5.44,2.98,4.05,6.86,-2.64,-0.957
ZAK,4.97,3.58,2.1,4.82,-2.06,-0.955
SLC7A11,5.06,3.84,2.97,5.7,-1.97,-0.953
LINC01324,1.43,0.0678,0.202,1.21,-1.18,-0.945
SMA4,7.13,5.94,4.76,7.43,-1.93,-0.945
DCC,9.78,8.32,5.46,10,-3.01,-0.943
LINC01550,2.51,0.913,1.45,2.64,-1.39,-0.943
IKZF2,2.92,1.82,1.63,3.7,-1.58,-0.941
C12orf79,4.28,2.75,2.26,3.84,-1.56,-0.94
NCDN,3.4,1.93,2.34,3.69,-1.41,-0.94
WNK4,2.43,0.686,1.24,3.49,-2,-0.931
ADGRV1,4.59,3.37,2.61,5.74,-2.17,-0.925
MSRB3,3.26,2.15,1.81,4.15,-1.72,-0.922
CHD7,2.94,1.69,1.84,3.98,-1.69,-0.919
GOLGA2P5,2.03,0.908,0.585,3.06,-1.8,-0.918
RALYL,5.93,4.5,3.71,8.81,-3.27,-0.909
PARD3B,4.73,2.85,3.47,4.5,-1.46,-0.908
RMDN2,3.91,2.22,2.87,4.2,-1.51,-0.908
TMEM232,7.94,6.43,6.74,7.72,-1.25,-0.903
TAF7L,2.81,1.62,1.11,2.62,-1.35,-0.901
NSF,8.11,7.03,7.06,7.98,-1,-0.897
IPO5P1,3.77,2.76,2.44,4.34,-1.46,-0.895
PARM1,2.4,1.32,1.19,3.67,-1.78,-0.895
ITGA8,7.95,6.73,4.82,8.49,-2.44,-0.895
CALB1,2.48,1.38,0.638,3.45,-1.95,-0.886
ATP2B4,6.12,2.37,4.8,7.15,-3.05,-0.885
GRP,3.5,2.02,1.89,2.99,-1.29,-0.883
LINC00499,2.67,0.825,0.896,1.88,-1.42,-0.882
KCTD1,6.05,4.28,5.06,6.34,-1.52,-0.867
KHDRBS2,5.69,4.56,3.98,7.73,-2.44,-0.854
CTNNAL1,2.89,2.01,1.9,2.87,-0.922,-0.85
NPY1R,6.87,3.13,4.76,5.87,-2.42,-0.849
LRRC37A2,3.98,2.25,3.03,4.25,-1.48,-0.849
SYNPR,9.55,8.53,6.9,9.66,-1.89,-0.845
LOC105377446,1.37,0.304,0.476,1.67,-1.13,-0.844
YJEFN3,4.78,3.7,3.84,5.78,-1.51,-0.837
TCF7L1,2.69,0.547,0.645,1.59,-1.54,-0.837
C6orf118,2.47,0.44,1.3,2.23,-1.48,-0.831
EPB41L4A,1.75,0.689,0.69,4.71,-2.54,-0.823
FAM19A1,7.47,6.27,6.52,8.78,-1.73,-0.821
ZNF704,6.61,5.67,4.68,7.63,-1.95,-0.804
MYO3B,2.51,0.961,1.47,2.32,-1.2,-0.803
SLC25A21,1.89,1.06,0.819,2.07,-1.04,-0.802
PLK5,1.26,0.395,0.383,2.2,-1.34,-0.801
RPSAP58,3.76,1.67,2.77,3.63,-1.47,-0.788
FBXO34,8.16,7.37,7.2,8.19,-0.89,-0.782
C21orf91,2.98,2.16,1.8,3.3,-1.16,-0.782
LOC102725082,1.34,0.434,0.513,2.19,-1.29,-0.782
SPATS2L,3,1.16,2.15,3.42,-1.56,-0.782
DNAH6,7.05,5.34,6.21,7.37,-1.43,-0.777
SLIT3,9.83,9.02,9.01,10.6,-1.19,-0.776
LOC105377567,4.98,2.32,3.76,4.62,-1.76,-0.775
NAAA,2.43,1.59,1.33,3.58,-1.55,-0.774
NRIP1,3.92,2.99,2.54,3.79,-1.09,-0.771
RCSD1,3.23,1.04,2.3,3.13,-1.51,-0.77
ALDH3A2,4.91,4.09,3.88,5.98,-1.46,-0.767
NTF3,2.09,1.16,0.131,4.88,-2.84,-0.767
SPON1,7.93,7.1,6.74,9.07,-1.58,-0.766
GRM1,9.7,8.93,8.86,9.73,-0.823,-0.765
LOC101928278,8.71,5.64,7.86,8.98,-2.1,-0.759
FAM110B,4.56,3.63,3.77,5.39,-1.27,-0.757
OPCML,10.3,6.25,9.4,11.1,-2.88,-0.756
C22orf24,1.94,1.14,1.08,3.31,-1.51,-0.752
KCNH7,2.8,1.79,1.97,5.24,-2.14,-0.751
LOC284825,4.56,3.75,2.71,5.58,-1.84,-0.749
GUSBP9,1.24,0.495,0.486,1.68,-0.972,-0.739
SLC25A23,3.97,2.86,3.19,5.63,-1.77,-0.736
LOC105375004,1.04,0.264,0.302,1.17,-0.823,-0.735
SLC9C2,2.82,2.05,1.46,3.81,-1.56,-0.735
TIAM2,3.8,2.04,2.54,3.28,-1.25,-0.726
KCNIP2-AS1,4.11,3,1.82,3.74,-1.52,-0.726
CACNG3,6.06,4.43,5.3,7.9,-2.12,-0.726
HTR1E,4.07,2.47,3.32,5.34,-1.81,-0.725
CDC40,4.32,3.59,3.55,4.68,-0.928,-0.725
LY86-AS1,9.22,4.04,7.95,8.71,-2.97,-0.721
OR5V1,1.99,0.616,0.859,1.58,-1.05,-0.719
NAF1,5.91,3.88,4.68,5.41,-1.38,-0.718
DOCK5,2.15,1.43,1.15,3.07,-1.32,-0.714
LOC101929206,1.21,0.496,0.409,2.1,-1.2,-0.714
LOC105379036,1.76,1.04,0.683,3.62,-1.83,-0.711
RFX2,2.88,1.87,2.18,5.36,-2.09,-0.705
THSD7B,3.25,2.47,2.57,7.76,-2.98,-0.701
PPP1R1A,1.3,0.3,0.6,1.67,-1.03,-0.699
TRPM3,10.3,6.88,9.43,10.1,-2.04,-0.695
IQCA1,4.3,2.75,3.62,5.44,-1.68,-0.695
GABRB2,8.62,7.93,7.61,8.72,-0.897,-0.694
GPC4,3.99,2.38,3.31,4.27,-1.29,-0.693
CC2D2A,4.69,4,3.59,5,-1.05,-0.691
KCTD16,10.6,9.82,9.16,10.5,-1.05,-0.69
CNTLN,2.97,2.31,1.77,4.1,-1.49,-0.686
LOC105377922,1.71,1.04,0.725,1.75,-0.845,-0.677
LOC105372752,2.11,1.37,1.48,3.77,-1.52,-0.674
NMNAT3,6.15,5.5,5.43,6.71,-0.971,-0.673
PKIG,6.4,5.75,5.65,7.19,-1.1,-0.672
