channel x_pos y_pos z_pos
0 -160 50 2500
1 -160 50 2490
2 -160 50 2480
3 -160 50 2470
4 -160 50 2460
5 -160 50 2450
6 -160 50 2440
7 -160 50 2430
8 -160 50 2420
9 -160 50 2410
10 -160 50 2400
11 -160 50 2390
12 -160 50 2380
13 -160 50 2370
14 -160 50 2360
15 -160 50 2350
16 -160 50 2340
17 -160 50 2330
18 -160 50 2320
19 -160 50 2310
20 -160 50 2300
21 -160 50 2290
22 -160 50 2280
23 -160 50 2270
24 -160 50 2260
25 -160 50 2250
26 -160 50 2240
27 -160 50 2230
28 -160 50 2220
29 -160 50 2210
30 -160 50 2200
31 -160 50 2190
32 -160 50 2180
33 -160 50 2170
34 -160 50 2160
35 -160 50 2150
36 -160 50 2140
37 -160 50 2130
38 -160 50 2120
39 -160 50 2110
40 -160 50 2100
41 -160 50 2090
42 -160 50 2080
43 -160 50 2070
44 -160 50 2060
45 -160 50 2050
46 -160 50 2040
47 -160 50 2030
48 -160 50 2020
49 -160 50 2010
50 -160 50 2000
51 -160 50 1990
52 -160 50 1980
53 -160 50 1970
54 -160 50 1960
55 -160 50 1950
56 -160 50 1940
57 -160 50 1930
58 -160 50 1920
59 -160 50 1910
60 -160 50 1900
61 -160 50 1890
62 -160 50 1880
63 -160 50 1870
64 -160 50 1860
65 -160 50 1850
66 -160 50 1840
67 -160 50 1830
68 -160 50 1820
69 -160 50 1810
70 -160 50 1800
71 -160 50 1790
72 -160 50 1780
73 -160 50 1770
74 -160 50 1760
75 -160 50 1750
76 -160 50 1740
77 -160 50 1730
78 -160 50 1720
79 -160 50 1710
80 -160 50 1700
81 -160 50 1690
82 -160 50 1680
83 -160 50 1670
84 -160 50 1660
85 -160 50 1650
86 -160 50 1640
87 -160 50 1630
88 -160 50 1620
89 -160 50 1610
90 -160 50 1600
91 -160 50 1590
92 -160 50 1580
93 -160 50 1570
94 -160 50 1560
95 -160 50 1550
96 -160 50 1540
97 -160 50 1530
98 -160 50 1520
99 -160 50 1510
100 -160 50 1500
101 -160 50 1490
102 -160 50 1480
103 -160 50 1470
104 -160 50 1460
105 -160 50 1450
106 -160 50 1440
107 -160 50 1430
108 -160 50 1420
109 -160 50 1410
110 -160 50 1400
111 -160 50 1390
112 -160 50 1380
113 -160 50 1370
114 -160 50 1360
115 -160 50 1350
116 -160 50 1340
117 -160 50 1330
118 -160 50 1320
119 -160 50 1310
120 -160 50 1300
121 -160 50 1290
122 -160 50 1280
123 -160 50 1270
124 -160 50 1260
125 -160 50 1250
126 -160 50 1240
127 -160 50 1230
128 -160 50 1220
129 -160 50 1210
130 -160 50 1200
131 -160 50 1190
132 -160 50 1180
133 -160 50 1170
134 -160 50 1160
135 -160 50 1150
136 -160 50 1140
137 -160 50 1130
138 -160 50 1120
139 -160 50 1110
140 -160 50 1100
141 -160 50 1090
142 -160 50 1080
143 -160 50 1070
144 -160 50 1060
145 -160 50 1050
146 -160 50 1040
147 -160 50 1030
148 -160 50 1020
149 -160 50 1010
150 -160 50 1000
151 -160 50 990
152 -160 50 980
153 -160 50 970
154 -160 50 960
155 -160 50 950
156 -160 50 940
157 -160 50 930
158 -160 50 920
159 -160 50 910
160 -160 50 900
161 -160 50 890
162 -160 50 880
163 -160 50 870
164 -160 50 860
165 -160 50 850
166 -160 50 840
167 -160 50 830
168 -160 50 820
169 -160 50 810
170 -160 50 800
171 -160 50 790
172 -160 50 780
173 -160 50 770
174 -160 50 760
175 -160 50 750
176 -160 50 740
177 -160 50 730
178 -160 50 720
179 -160 50 710
180 -160 50 700
181 -160 50 690
182 -160 50 680
183 -160 50 670
184 -160 50 660
185 -160 50 650
186 -160 50 640
187 -160 50 630
188 -160 50 620
189 -160 50 610
190 -160 50 600
191 -160 50 590
192 -160 50 580
193 -160 50 570
194 -160 50 560
195 -160 50 550
196 -160 50 540
197 -160 50 530
198 -160 50 520
199 -160 50 510
200 -160 50 500
201 -160 50 490
202 -160 50 480
203 -160 50 470
204 -160 50 460
205 -160 50 450
206 -160 50 440
207 -160 50 430
208 -160 50 420
209 -160 50 410
210 -160 50 400
211 -160 50 390
212 -160 50 380
213 -160 50 370
214 -160 50 360
215 -160 50 350
216 -160 50 340
217 -160 50 330
218 -160 50 320
219 -160 50 310
220 -160 50 300
221 -160 50 290
222 -160 50 280
223 -160 50 270
224 -160 50 260
225 -160 50 250
226 -160 50 240
227 -160 50 230
228 -160 50 220
229 -160 50 210
230 -160 50 200
231 -160 50 190
232 -160 50 180
233 -160 50 170
234 -160 50 160
235 -160 50 150
236 -160 50 140
237 -160 50 130
238 -160 50 120
239 -160 50 110
240 -150 50 2500
241 -150 50 2490
242 -150 50 2480
243 -150 50 2470
244 -150 50 2460
245 -150 50 2450
246 -150 50 2440
247 -150 50 2430
248 -150 50 2420
249 -150 50 2410
250 -150 50 2400
251 -150 50 2390
252 -150 50 2380
253 -150 50 2370
254 -150 50 2360
255 -150 50 2350
256 -150 50 2340
257 -150 50 2330
258 -150 50 2320
259 -150 50 2310
260 -150 50 2300
261 -150 50 2290
262 -150 50 2280
263 -150 50 2270
264 -150 50 2260
265 -150 50 2250
266 -150 50 2240
267 -150 50 2230
268 -150 50 2220
269 -150 50 2210
270 -150 50 2200
271 -150 50 2190
272 -150 50 2180
273 -150 50 2170
274 -150 50 2160
275 -150 50 2150
276 -150 50 2140
277 -150 50 2130
278 -150 50 2120
279 -150 50 2110
280 -150 50 2100
281 -150 50 2090
282 -150 50 2080
283 -150 50 2070
284 -150 50 2060
285 -150 50 2050
286 -150 50 2040
287 -150 50 2030
288 -150 50 2020
289 -150 50 2010
